time="2024-12-06T09:34:30+05:00" level=info msg="Configuration loaded"
time="2024-12-06T09:34:30+05:00" level=info msg="Connected to MongoDB"
time="2024-12-06T09:34:30+05:00" level=info msg="Initializing Kafka producer with address:localhost:9092"
time="2024-12-06T09:34:30+05:00" level=info msg="Kafka client initialized successfully"
time="2024-12-06T09:39:38+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:39:41+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:39:44+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:39:44+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:39:46+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:39:49+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:39:49+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:39:51+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:39:54+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:39:54+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:39:56+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:39:59+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:39:59+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:40:01+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:40:04+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:40:04+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:40:06+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:40:09+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:40:09+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:40:11+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:40:14+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:40:14+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:40:16+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:40:19+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:40:19+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:40:21+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:40:24+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:40:24+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:40:26+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:40:29+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:40:29+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:40:31+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
